strain,A02479002/2020 (P),A02478680/2019 (C.1.1),A02016893/2018 (C.1.2),A02245346/2019 (C.2),A02479062/2020 (C.2.1),A02245409/2020 (C.3.1),A02479110/2020 (C.3.2)
A/swine/IA/A02479002/2020 (P),,6.928258256,6.928258256,6.359611169,6.92652657,6.521180481,6.369660581
A/swine/CA/A02478680/2019 (C.1.1),6.928258256,,2.361481505,0.797670812,1.253289423,1.662554796,1.518410197
A/swine/SD/A02016893/2018 (C.1.2),6.928258256,2.361481505,,2.162414646,2.398776953,1.68271102,1.202302079
A/swine/KS/A02245346/2019 (C.2),6.359611169,0.797670812,2.162414646,,1.77569844,1.067075275,1.042467913
A/swine/NC/A02479062/2020 (C.2.1),6.92652657,1.253289423,2.398776953,1.77569844,,2.519378744,2.064131999
A/swine/MN/A02245409/2020 (C.3.1),6.521180481,1.662554796,1.68271102,1.067075275,2.519378744,,0.652350236
A/swine/IA/A02479110/2020 (C.3.2),6.369660581,1.518410197,1.202302079,1.042467913,2.064131999,0.652350236,
