No1,Name1,No2,Name2,distance
3 SR,A/SWINE/CALIFORNIA/A02478680/2019 649,11 SR,A/SWINE/MINNESOTA/A02245409/2020 637,2.0278351587385153
3 SR,A/SWINE/CALIFORNIA/A02478680/2019 649,12 SR,A/SWINE/IOWA/A02479110/2020 640,2.2396407650556314
3 SR,A/SWINE/CALIFORNIA/A02478680/2019 649,13 SR,A/SWINE/IOWA/A02479110/2020 641,1.821051642020822
4 SR,A/SWINE/SOUTH DAKOTA/A02016893/2018 642,5 SR,A/SWINE/SOUTH DAKOTA/A02016893/2018 643,1.7989384508623085
4 SR,A/SWINE/SOUTH DAKOTA/A02016893/2018 642,6 SR,A/SWINE/KANSAS/A02245346/2019 646,2.6011476692876827
4 SR,A/SWINE/SOUTH DAKOTA/A02016893/2018 642,7 SR,A/SWINE/KANSAS/A02245346/2019 647,3.28942583311391
4 SR,A/SWINE/SOUTH DAKOTA/A02016893/2018 642,8 SR,A/SWINE/NORTH CAROLINA/A02479062/2020 644,2.156453252336609
4 SR,A/SWINE/SOUTH DAKOTA/A02016893/2018 642,9 SR,A/SWINE/NORTH CAROLINA/A02479062/2020 645,3.0942058940346397
4 SR,A/SWINE/SOUTH DAKOTA/A02016893/2018 642,10 SR,A/SWINE/MINNESOTA/A02245409/2020 636,2.1781438362771333
4 SR,A/SWINE/SOUTH DAKOTA/A02016893/2018 642,11 SR,A/SWINE/MINNESOTA/A02245409/2020 637,2.609406685364248
4 SR,A/SWINE/SOUTH DAKOTA/A02016893/2018 642,12 SR,A/SWINE/IOWA/A02479110/2020 640,2.8323271749498056
4 SR,A/SWINE/SOUTH DAKOTA/A02016893/2018 642,13 SR,A/SWINE/IOWA/A02479110/2020 641,1.9741223406691832
5 SR,A/SWINE/SOUTH DAKOTA/A02016893/2018 643,6 SR,A/SWINE/KANSAS/A02245346/2019 646,1.6648620722726777
5 SR,A/SWINE/SOUTH DAKOTA/A02016893/2018 643,7 SR,A/SWINE/KANSAS/A02245346/2019 647,1.803972241225906
5 SR,A/SWINE/SOUTH DAKOTA/A02016893/2018 643,8 SR,A/SWINE/NORTH CAROLINA/A02479062/2020 644,1.0201906070496438
5 SR,A/SWINE/SOUTH DAKOTA/A02016893/2018 643,9 SR,A/SWINE/NORTH CAROLINA/A02479062/2020 645,2.2009507857061585
5 SR,A/SWINE/SOUTH DAKOTA/A02016893/2018 643,10 SR,A/SWINE/MINNESOTA/A02245409/2020 636,1.40302485500708
5 SR,A/SWINE/SOUTH DAKOTA/A02016893/2018 643,11 SR,A/SWINE/MINNESOTA/A02245409/2020 637,1.1681553358765866
5 SR,A/SWINE/SOUTH DAKOTA/A02016893/2018 643,12 SR,A/SWINE/IOWA/A02479110/2020 640,2.6514405831032635
5 SR,A/SWINE/SOUTH DAKOTA/A02016893/2018 643,13 SR,A/SWINE/IOWA/A02479110/2020 641,1.3604697950199478
6 SR,A/SWINE/KANSAS/A02245346/2019 646,7 SR,A/SWINE/KANSAS/A02245346/2019 647,1.1023313088249427
6 SR,A/SWINE/KANSAS/A02245346/2019 646,8 SR,A/SWINE/NORTH CAROLINA/A02479062/2020 644,1.0353131911181486
6 SR,A/SWINE/KANSAS/A02245346/2019 646,9 SR,A/SWINE/NORTH CAROLINA/A02479062/2020 645,1.866071057748227
6 SR,A/SWINE/KANSAS/A02245346/2019 646,10 SR,A/SWINE/MINNESOTA/A02245409/2020 636,1.4059489378454488
6 SR,A/SWINE/KANSAS/A02245346/2019 646,11 SR,A/SWINE/MINNESOTA/A02245409/2020 637,0.804261348261512
6 SR,A/SWINE/KANSAS/A02245346/2019 646,12 SR,A/SWINE/IOWA/A02479110/2020 640,2.731769860642892
6 SR,A/SWINE/KANSAS/A02245346/2019 646,13 SR,A/SWINE/IOWA/A02479110/2020 641,0.64462493991013
7 SR,A/SWINE/KANSAS/A02245346/2019 647,8 SR,A/SWINE/NORTH CAROLINA/A02479062/2020 644,1.2332793274793543
7 SR,A/SWINE/KANSAS/A02245346/2019 647,9 SR,A/SWINE/NORTH CAROLINA/A02479062/2020 645,1.6711107731800794
7 SR,A/SWINE/KANSAS/A02245346/2019 647,10 SR,A/SWINE/MINNESOTA/A02245409/2020 636,2.0088787846067637
7 SR,A/SWINE/KANSAS/A02245346/2019 647,11 SR,A/SWINE/MINNESOTA/A02245409/2020 637,0.6903338041326402
7 SR,A/SWINE/KANSAS/A02245346/2019 647,12 SR,A/SWINE/IOWA/A02479110/2020 640,3.3684634676480534
7 SR,A/SWINE/KANSAS/A02245346/2019 647,13 SR,A/SWINE/IOWA/A02479110/2020 641,1.5927989872545525
8 SR,A/SWINE/NORTH CAROLINA/A02479062/2020 644,9 SR,A/SWINE/NORTH CAROLINA/A02479062/2020 645,1.2935213382587325
8 SR,A/SWINE/NORTH CAROLINA/A02479062/2020 644,10 SR,A/SWINE/MINNESOTA/A02245409/2020 636,1.725325100152074
8 SR,A/SWINE/NORTH CAROLINA/A02479062/2020 644,11 SR,A/SWINE/MINNESOTA/A02245409/2020 637,0.6842388844196388
8 SR,A/SWINE/NORTH CAROLINA/A02479062/2020 644,12 SR,A/SWINE/IOWA/A02479110/2020 640,3.1419171190167337
8 SR,A/SWINE/NORTH CAROLINA/A02479062/2020 644,13 SR,A/SWINE/IOWA/A02479110/2020 641,0.9647828790805958
9 SR,A/SWINE/NORTH CAROLINA/A02479062/2020 645,10 SR,A/SWINE/MINNESOTA/A02245409/2020 636,2.97570792213308
9 SR,A/SWINE/NORTH CAROLINA/A02479062/2020 645,11 SR,A/SWINE/MINNESOTA/A02245409/2020 637,1.6493945121084284
9 SR,A/SWINE/NORTH CAROLINA/A02479062/2020 645,12 SR,A/SWINE/IOWA/A02479110/2020 640,4.396636184198651
9 SR,A/SWINE/NORTH CAROLINA/A02479062/2020 645,13 SR,A/SWINE/IOWA/A02479110/2020 641,2.0425076620704083
10 SR,A/SWINE/MINNESOTA/A02245409/2020 636,11 SR,A/SWINE/MINNESOTA/A02245409/2020 637,1.4870251372268415
10 SR,A/SWINE/MINNESOTA/A02245409/2020 636,12 SR,A/SWINE/IOWA/A02479110/2020 640,1.4369136927543114
10 SR,A/SWINE/MINNESOTA/A02245409/2020 636,13 SR,A/SWINE/IOWA/A02479110/2020 641,1.1270876735802164
11 SR,A/SWINE/MINNESOTA/A02245409/2020 637,12 SR,A/SWINE/IOWA/A02479110/2020 640,2.9126840409431742
11 SR,A/SWINE/MINNESOTA/A02245409/2020 637,13 SR,A/SWINE/IOWA/A02479110/2020 641,1.0401547047472532
12 SR,A/SWINE/IOWA/A02479110/2020 640,13 SR,A/SWINE/IOWA/A02479110/2020 641,2.4307424157032598
