,A/swine/Iowa/A02479002/2020,A/swine/Iowa/A02479002/2020,A/swine/California/A02478680/2019,A/swine/California/A02478680/2019,A/swine/South Dakota/A02016893/2018,A/swine/South Dakota/A02016893/2018,A/swine/Kansas/A02245346/2019,A/swine/Kansas/A02245346/2019,A/swine/North Carolina/A02479062/2020,A/swine/North Carolina/A02479062/2020,A/swine/Minnesota/A02245409/2020,A/swine/Minnesota/A02245409/2020,A/swine/Iowa/A02479110/2020,A/swine/Iowa/A02479110/2020
A/swine/Iowa/A02479002/2020,5120,5120,10,20,10,10,10,20,10,10,20,160,10,20
A/swine/California/A02478680/2019,40,40,640,1280,320,80,1280,320,160,160,320,2560,320,1280
A/swine/South Dakota/A02016893/2018,80,40,640,1280,2560,640,320,320,640,160,1280,5120,640,2560
A/swine/Kansas/A02245346/2019,80,40,640,5120,320,160,2560,1280,320,320,320,5120,320,2560
A/swine/North Carolina/A02479062/2020,40,10,160,160,160,40,640,320,320,640,320,1280,80,1280
A/swine/Minnesota/A02245409/2020,80,40,640,1280,320,160,1280,320,160,80,1280,5120,5120,2560
A/swine/Iowa/A02479110/2020,80,40,640,640,640,160,640,640,320,320,640,5120,5120,5120
