,A/swine/Iowa/A02479002/2020,A/swine/Iowa/A02479002/2020,A/swine/California/A02478680/2019,A/swine/California/A02478680/2019,A/swine/South Dakota/A02016893/2018,A/swine/South Dakota/A02016893/2018,A/swine/Kansas/A02245346/2019,A/swine/Kansas/A02245346/2019,A/swine/North Carolina/A02479062/2020,A/swine/North Carolina/A02479062/2020,A/swine/Minnesota/A02245409/2020,A/swine/Minnesota/A02245409/2020,A/swine/Iowa/A02479110/2020,A/swine/Iowa/A02479110/2020
A/swine/Iowa/A02479002/2020,5120,5120,20,20,10,10,10,20,10,10,20,320,20,20
A/swine/California/A02478680/2019,40,40,640,1280,320,80,640,320,160,160,640,5120,320,2560
A/swine/South Dakota/A02016893/2018,20,20,320,640,2560,160,20,80,160,40,320,160,320,1280
A/swine/Kansas/A02245346/2019,80,40,640,5120,320,80,1280,1280,320,160,640,5120,320,2560
A/swine/North Carolina/A02479062/2020,40,10,320,320,320,40,640,640,640,640,640,2560,160,2560
A/swine/Minnesota/A02245409/2020,80,40,640,2560,320,160,1280,640,320,160,5120,5120,1280,5120
A/swine/Iowa/A02479110/2020,80,80,1280,640,1280,320,1280,640,640,320,2560,5120,5120,5120
